topic,keywords,tweet_count,draft_need_statement,manual_final_need_statement,manual_notes
0,"wadah, wadah mbg, kebersihan, mbg ini, mbg ada, mbg yang, makanan, mbg yg, tray mbg, halal",88,Food tray harus mudah dibersihkan dan mendukung higienitas selama penanganan dan distribusi.,,
1,"di jakarta, mbg ga, wadah mbg, pakai, jakarta, mbg nya, wadah, pake, ompreng mbg, terhadap",12,Food tray harus dirancang agar lebih sesuai dengan kebutuhan distribusi MBG di lapangan.,,
2,"nih, mbg jadi, bikin, buat, tes, ada yang, lalu, memastikan, dan, jd",12,Food tray harus dirancang agar lebih sesuai dengan kebutuhan distribusi MBG di lapangan.,,
