Topic,Count,Name,Representation,Representative_Docs
-1,9,-1_wadah makanan_mengandung bahan_pake wadah_wadah mbg,"['wadah makanan', 'mengandung bahan', 'pake wadah', 'wadah mbg', 'daging', 'mbg ada', 'mbg itu', 'mbg ini', 'wadah', 'terkontaminasi']","['ompreng mbg pakai bahan stainless steel ini kelebihannya', 'dokumen safety data sheet itu mengacu ke pelumas mesin stamping utk membentuk tray stainless steel pertanyaannya skrg apakah tak ada proses pencucian tray ss itu sebelum dipakai wadah mbg', 'sender pengen beli tumblr stainless steel yg tahan dingin tapi setelah ada berita mbg kalau wadah stainless steelnya mengandung bahan non halal seder jadi takut ada yang tau tumblr tahan dingin yg halal made in indonesia ngga yaa']"
0,88,0_wadah_wadah mbg_kebersihan_mbg ini,"['wadah', 'wadah mbg', 'kebersihan', 'mbg ini', 'mbg ada', 'mbg yang', 'makanan', 'mbg yg', 'tray mbg', 'halal']","['postingan ini melengkapi kembali tulisan yang pernah saya buat pada kanal x di bulan januari waktu itu saya melihat beberapa titik yang mungkin dapat menjadi kritis pada pelaksanaan mbg dan tampaknya beberapa titik kritis itu sepertinya menjadi perhatian bagi kita semua hari ini saya melihat mbg ini sebenarnya program yang bagus jika tidak mau disebut populis namun itu hanya terjadi jika program ini berhasil ini adalah tentang sebuah metode memasak yang mungkin jika memasak itu untuk diri sendiri atau keluarga dapat dibuat dengan mudah dan simple tetapi ketika memasak diperuntukkan untuk skala besar maka memasak menjadi suatu tata kelola penyelenggaraan makanan yang tidaklah lagi mudah atau simple tetapi menjadi sebuah sistem yang kompleks terintegrasi dan tidak bisa dijalankan dengan pola pikir dapur rumah tangga biasa ini adalah sebuah sistem yang menuntut standar pengawasan mutu manajemen risiko serta koordinasi yang ketat agar aman dan berhasil dari segi produksi makanannya apa yang harus disiapkan pada pra produksi misalnya pemilihan menu tidak semua resep rumah tangga bisa di scale up stabil tahan simpan dan konsisten hingga saat penyajian lalu saat produksi yang tentunya ini adalah yang paling rumit bagaimana teknik pengolahan massal bahan baku dan bumbu sehingga masakan tetap berkualitas tanpa mengorbankan rasa palatabilitas dan nilai gizi masih banyak lagi dari aspek produksi kontrol suhu saat memasak bagaimana penggunaan peralatan memasak apakah bisa dengan perkakas masak rumahan atau menggunakan perkakas skala industri untuk menjamin mutu kualitas dan keamanan pangan kemudian sampailah pada proses pasca produksi saya membayangkan sebuah dapur sentral yang beroperasi untuk setiap jarak tempuh kurang dari jam perjalanan dari selesai makanan diproduksi hingga makanan disantap wadah yang higienis berikut dengan truk pengangkut makanan yang mungkin harus spesifik ooh la la dalam pikiran saya ini bukan lagi tentang masak memasak ini adalah sebuah tanggung jawab besar yang melibatkan beragam disiplin ilmu yang dijalankan dengan profesional serta penerapan good manufacturing practices jika semua ini dijalankan dengan baik mbg dapat terwujud dan berkelanjutan serta menjadi sumber harapan untuk generasi emas indonesia', 'orang ini bermasalah serius karena dia ga paham pekerjaan sehingga membisiki presiden dengan informasi yang salah dan membuat anggaran mbg jadi bengkak asalahnya bukan di sterilisasi tapi di kapasitas produksi dapur porsi itu jika dengan kompor selesai dalam waktu jam dan itu membuat makan basi belum lagi distribusi makanan mateng ke sekolah karena makanan matemg terlalu lama pd suhu ruang itulah yng membiakan bakteri bos nih gue jelasin lagi dech dasar bego pernyataan pejabat tersebut menunjukkan kegagalan memahami akar masalah sistemik dalam program mbg makan bergizi gratis mari kita bedah salah diagnosis masalah masalah utama bukan pada higienitas air atau alat makan melainkan pada kapasitas produksi dan rantai waktu distribusi makanan matang produksi porsi per dapur dengan kompor berarti rata rata porsi per kompor dengan waktu masak jam per batch proses penuh butuh jam tidak realistis dalam siklus harian makan siang akibatnya makanan disimpan terlalu lama pada suhu ruang di mana zona bahaya bakteri danger zone adalah c c dalam jam bakteri seperti bacillus cereus atau salmonella bisa berkembang biak eksponensial mengganti air biasa dengan air galon tidak menyelesaikan problem ini bahkan hanya menambah biaya logistik dan operasional tanpa menekan risiko mikrobiologis utama fokus sterilisasi salah arah sterilisasi alat makan dengan suhu c adalah standard industri untuk rumah sakit atau laboratorium bukan dapur massal sekolah risiko terbesar bukan pada alat makan melainkan kontaminasi silang dari bahan mentah waktu pendinginan dan pengemasan makanan panas ke wadah tertutup sistem sterilisasi seharusnya diterapkan pada siklus produksi proses dan waktu bukan hanya pada alat solusi teknis yang tepat pendekatan yang benar untuk menjamin higienitas dan efisiensi justru harus mencakup a desain dapur distribusi decentralized kitchen maksimal porsi per dapur dekat dengan titik konsumsi radius km mengurangi waktu distribusi dan menjaga makanan tetap hangat jam dari waktu masak ke konsumsi b standar proses produksi gunakan cook chill system atau retort food technology untuk kebutuhan massal jika tetap terpusat implementasi food safety plan berbasis haccp hazard analysis critical control point suhu penyimpanan c dan pemanasan ulang c sebelum disajikan c efisiensi air penggunaan air galon hanya relevan untuk air minum langsung bukan untuk memasak dalam volume besar solusi rasional filtration chlorination system di tiap dapur biaya jauh lebih murah per liter dibanding air galon dampak fiskal instruksi seperti gunakan air galon dan sterilisasi alat makan dengan pemanas gas akan meningkatkan biaya per porsi secara signifikan rp tambahan tanpa peningkatan signifikan pada keamanan pangan mengacaukan efisiensi anggaran karena dana habis di input yang salah sasaran kesimpulan strategis masalah program mbg bukan higienitas kosmetik melainkan desain sistemik distribusi dan kapasitas operasional yang cacat metodologi setiap rupiah yang dikeluarkan untuk air galon dan sterilisasi alat makan hanya akan menjadi pemborosan anggaran yang tidak berdampak pada keselamatan konsumsi weka', 'prabowo pastikan mbg jalan terus semua dapur dilengkapi sterilisasi test kit sebelum makan dikirim bogor presiden ri prabowo subianto memastikan program makan bergizi gratis mbg akan terus berjalan menurut dia mbg yang dimulai sejak awal ini telah berjalan cukup sukses meski masih ada kekurangan anak anak kita harus cukup makan maka makan bergizi gratis berjalan terus alhamdulillah hari ini sudah hampir mencapai juta penerima manfaat kata prabowo di cileungsi bogor jawa barat senin presiden mengamini masih ada kekurangan dalam pelaksanaan program mbg salah satunya terkait insiden keracunan makanan yang dialami sejumlah siswa di beberapa daerah karena itu prabowo berjanji pemerintah akan membenahi proses memasak hingga distribusi mbg agar diterima dengan baik oleh para penerima manfaat kita kerja keras sekarang semua dapur nanti harus dilengkapi alat alat cuci ompreng yang benar benar kuat dengan ultra violet atau dengan gas atau dengan air yang sangat panas kemudian juga filter untuk air harus ada kemudian test kit sebelum dikirim makanan harus ada ini segera kita benahi semua dapur harus ada tukang masak terlatih ujarnya ia pun menyampaikan terima kasih kepada pihak pihak yang telah bekerja keras dalam pelaksanaan mbg dari segi statistik dibandingkan dengan yang sudah kita hasilkan ternyata ada penyimpangan kekurangan bukan penyimpangan sengaja tapi katakanlah deviasi itu adalah ternyata ucap presiden sebelumnya prabowo juga menekankan keselamatan anak merupakan prioritas utama dalam pelaksanaan mbg hal ini disampaikan menteri koordinator bidang pangan zulkifli hasan zulhas usai rapat koordinasi di kementerian kesehatan minggu kemarin bapak presiden setibanya di tanah air langsung memimpin beberapa menteri di halim untuk mengadakan rapat salah satu yang dibahas adalah mengenai makan bergizi gratis setelah dari halim semalam masih melanjutkan pembahasan soal makan bergizi gratis dan siang ini atas instruksi dari bapak presiden kami melakukan rapat koordinasi dengan kementerian dan lembaga yang tadi saya sampaikan kepada saudara saudara kata zulhas menurutnya perhatian prabowo terhadap insiden yang terjadi di sejumlah satuan pelayanan pemenuhan gizi sppg sangat serius jadi betapa serius perhatian bapak presiden terhadap masalah ini saya sampaikan atas petunjuk dan arahan bapak presiden bahwa bagi pemerintah keselamatan anak adalah prioritas utama kami menegaskan insiden bukan sekadar angka tetapi menyangkut keselamatan generasi penerus tegas zulhas langkah yang ditempuh meliputi penutupan sementara sppg bermasalah evaluasi kedisiplinan di sppg khususnya juru masak serta sterilisasi peralatan dan perbaikan sanitasi kualitas air dan alur limbah kemudian diperintahkan semua kementerian lembaga pemda pemangku kepentingan program mbg ikut dan aktif dalam proses perbaikannya kementerian daerah lembaga terkait juga harus bersama sama aktif tidak menunggu tapi aktif melakukan pengawasan tegasnya prabowo mbgjalanterus makanbergizigratis sterilisasidapur testkitmakanan prioritaskeselamatananak jutapenerimamanfaat prabowountukanakbangsa generasisehatindonesia']"
1,12,1_di jakarta_mbg ga_wadah mbg_pakai,"['di jakarta', 'mbg ga', 'wadah mbg', 'pakai', 'jakarta', 'mbg nya', 'wadah', 'pake', 'ompreng mbg', 'terhadap']","['gw bawa bekal pake stainless kalau makan agak bunyi berasa makan pakai ompreng mbg', 'males bgt tweet gw di jump in sama opini begini yg katanya hampir broke the rules dikasi reprimand loh ya kalo yg broke the rules dapet apa ompreng mbg', 'ngantri ambil ompreng mbg kah guys']"
2,12,2_nih_mbg jadi_bikin_buat,"['nih', 'mbg jadi', 'bikin', 'buat', 'tes', 'ada yang', 'lalu', 'memastikan', 'dan', 'jd']","['coba nyari di pinterest ompreng mbg', 'cangkeme kudu disumpel ompreng mbg', 'ompreng mbg mlbb mobilelegend']"
