"id","text","author_username","author_id","created_at","like_count","reply_count","retweet_count","quote_count","bookmark_count","impression_count","lang","conversation_id","hashtags","mentions","x_fetched_at"
"1972922012764160399","Sebanyak 247 siswa Taman Kanak-kanak (TK) di Tianshui, Provinsi Gansu, China, mengalami keracunan massal setelah menyantap makanan di sekolah atau dikenal di Indonesia dengan istilah Makan Bergizi Gratis (MBG).

Klik untuk baca: https://t.co/ZyMxbf0ESD 

| #MakanBergiziGratis #China","kompascom","23343960","2025-09-30 07:10:37","8","4","4","4","1","4922","in","1972922012764160399","[""#MakanBergiziGratis"",""#China""]","[]","2025-10-11 11:16:49"
"1959972577822048585","Cara untuk sukseskan Asta Cita adalah dengan menyukseskan program Makan Bergizi Gratis (MBG) dan juga Koperasi Desa/Kel Merah Putih. 

Baca selengkapnya di https://t.co/FDWZgSUvWV 

#KemendesPDT
#BangunDesaBangunIndonesia
#MerdekaEkonomi
#MerdekaGizi","kemendespdt","802380540","2025-08-25 13:34:11","4","0","4","0","0","427","in","1959972570893262998","[""#KemendesPDT"",""#BangunDesaBangunIndonesia"",""#MerdekaEkonomi"",""#MerdekaGizi""]","[]","2025-08-29 20:36:33"
"1967091223149375864","Viral video Presiden Prabowo Subianto yang diputar sebelum film di bioskop.

Menteri Sekretaris Negara Prasetyo Hadi menilai hal ini lumrah sepanjang tak melanggar aturan dan kenyamanan penonton.

Video tersebut menampilkan program pemerintah, termasuk Koperasi Makan Bergizi Gratis, Merah Putih, dan Sekolah Rakyat.

👉 Baca selengkapnya https://t.co/xQERAsRfJ1

< #prabowosubianto #mensesnegprasetyohadi #bioskop","kompascom","23343960","2025-09-14 05:01:09","503","455","144","423","69","501858","in","1967091223149375864","[""#prabowosubianto"",""#mensesnegprasetyohadi"",""#bioskop""]","[]","2025-09-17 13:16:46"
"1972248738551976368","Seharusnya pengelola dapur MBG ini sebaiknya magang dahulu di dapur Pondok Pesantren. Bagaimana cara memasak, timeline waktu yg pas agar tidak basi, karena apa?

Terkait dengan program Makan Bergizi Gratis (MBG), belakangan ini ramai dibahas. Namun bukan karena keberhasilan programnya, melainkan karena kasus keracunan.

Hal yang sangat mengejutkan, mengingat program MBG adalah program utama Pemerintahan Prabowo Gibran yg sangat2 menelan anggaran sangat besar.

Namun mengapa berita tentang keracunan, menu yg tidak sesuai, basi, berulat, dan berita buruk lainnya.

Apakah tidak ada supervisor ahli atau pengawas yg mengawasi dapur MBG?

Belakangan ada pejabat yg menanggapi karena waktu masak yg terlalu lama, dan juga porsi besar, sehingga memungkinkan basi. Lantas apakah ini tidak diantisipasi?

Seharusnya pengelola dapur MBG ini sebaiknya magang dahulu di dapur Pondok Pesantren. Bagaimana cara memasak, timeline waktu yg pas agar tidak basi, karena apa?

Dapur Pondok Pesantren sangat2 berpengalaman dalam memasak bagi santri setiap hari dalam jumlah besar, ratusan santri, bahkan ada yg sampai seribu. Tak hanya makan siang saja, namun 3 kali makan sehari setiap hari.

Program MBG hanya masak untuk makan siang saja kok bermasalah, ini yg salah dimana?

Dapur MBG kan tidak hanya 1, tersebar dan terbagi. 

Pengelolaan higienis, personil kompeten, ahli memasak, bahkan jika perlu paham HACCP, K3, serta ahli gizi.

Bukan malah, pensiunan tentara.
Eh.

🙄🙄🙄","yudhabjnugroho","127182239","2025-09-28 10:35:16","1","0","0","0","0","627","in","1972237830702366795","[]","[]","2025-09-28 11:13:26"
"1972937854507700729","Wakil Kepala Badan Gizi Nasional (BGN) Nanik S. Deyang menyampaikan guru yang ditunjuk sebagai penanggung jawab Program Makan Bergizi Gratis (MBG) di sekolah akan mendapat insentif Rp 100 ribu per hari. Kebijakan ini tertuang dalam Surat Edaran Nomor 5 Tahun 2025.

Menurut Nanik, insentif diberikan sebagai bentuk apresiasi atas tambahan tugas guru dalam mendampingi siswa, memastikan distribusi makanan, sekaligus mendorong pola makan sehat dan perilaku hidup bersih di sekolah.

Setiap sekolah penerima manfaat diwajibkan menunjuk satu hingga tiga guru sebagai PIC distribusi MBG. Penunjukan dilakukan kepala sekolah dengan prioritas pada guru bantu dan honorer, serta menggunakan sistem rotasi harian. Dana insentif bersumber dari biaya operasional Satuan Pelayanan Pemenuhan Gizi (SPPG) dan dicairkan tiap 10 hari.

BGN menegaskan mekanisme pencairan harus sesuai aturan yang berlaku. Pemberian insentif diharapkan dapat meningkatkan motivasi guru agar distribusi MBG berjalan lancar dan mendukung perbaikan gizi anak bangsa.

📸: Dok. kumparan/Jamal.

Follow WhatsApp Channel kumparan untuk dapat Informasi terpercaya dikirim langsung ke WhatsApp kamu. Ketik https://t.co/LTFgN0m78w di browser kamu sekarang, agar bisa share informasi tanpa ragu.

#newsupdate #update #news #oneliner #penanggungjawab #mbg #makanbergizigratis #bgn #insentif #distribusimbg #info #infoterkini #berita #beritaterkini #bicarafaktalewatberita #kumparan","kumparan","759692754985242625","2025-09-30 08:13:34","95","89","35","22","4","23324","in","1972937854507700729","[""#newsupdate"",""#update"",""#news"",""#oneliner"",""#penanggungjawab"",""#mbg"",""#makanbergizigratis"",""#bgn"",""#insentif"",""#distribusimbg"",""#info"",""#infoterkini"",""#berita"",""#beritaterkini"",""#bicarafaktalewatberita"",""#kumparan""]","[]","2025-10-04 08:14:25"
"1961465406071459912","yang penting makan bergizi gratis jadi bisa maksi, ga butuh sarapan dan makan malam 😚","afinulyaf","321207457","2025-08-29 16:26:09","0","0","0","0","0","58","in","1961465406071459912","[]","[]","2025-09-13 17:16:32"
"1971589157270204641","https://t.co/3lNcxIeKdN

Anggaran untuk program makan bergizi gratis (MBG) mencapai Rp 335 triliun. https://t.co/OKYSxVpEfI","bang_ajisultan","1769610750782513152","2025-09-26 14:54:20","0","0","0","0","0","17","in","1971589157270204641","[]","[]","2025-09-27 08:27:02"
"1955625941809647804","Sri Mulyani: Anggaran Makan Bergizi Gratis 2026 Tembus Rp300 Triliun https://t.co/150EXwXpXe","e100ss","848614550","2025-08-13 13:42:12","93","56","18","27","1","16942","in","1955625941809647804","[]","[]","2025-08-15 23:24:07"
"1955565889069441481","RT @Heraloebss: Breaking News

Korban dugaan Keracunan masal akibat program Makan Bergizi Gratis (MBG) Tembus 251 orang, Puskesmas Gemolong…","Budi_2232","1203075185420599296","2025-08-13 09:43:35","0","0","158","0","0","0","in","1955565889069441481","[]","[""@Heraloebss""]","2025-08-14 09:50:54"
"1956375244085858810","Anggaran pendidikan, 44%, hampir separuh:

- Bayar tukin semua dosen ASN, bukan cuma sebagian ❌ 
- Tingkatkan kesejahteraan guru, apalagi yang honorer ❌
- Cari solusi UKT kuliah yang tiap tahun makin mahal ❌ 
- Prioritasin dana riset dan penelitian ❌ 
- Cari solusi soal anak SMP masih belum bisa baca dan berhitung ❌ 
- Makan Bergizi Gratis ✅","ardisatriawan","170542374","2025-08-15 15:19:40","1779","49","850","37","126","55114","in","1956375244085858810","[]","[]","2025-08-19 02:26:14"
